Description,Price,Rating,Review,Size,Discount,Price Before Discount
Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB SSD/Wi...,"₹34,990",No rating available,No review available,"14 inch, Abyss Blue, 1.6 kg, With MS Office",30% off,"₹50,290"
DELL Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) INSP...,"₹43,230",3.7,(17),"15.6 Inch, Accent Black, 1.83 Kg, With MS Office",2% off,"₹44,388"
acer Travelmate Core i5 11th Gen - (16 GB/512 GB SSD/Wi...,"₹55,990",4.3,(64),"14 inch, Shale Black, 1.65 Kg",23% off,"₹73,500"
Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB...,"₹99,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",27% off,"₹1,38,490"
DELL Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows...,"₹36,057",4.3,(891),"14 inch, Accent Black, 1.58 kg, With MS Office",No discount available,No previous price available
MSI GF65 Thin Hexa Core i5 10th Gen - (16 GB/512 GB SSD...,"₹86,990",4.6,(138),"15.6 inch, Black, 1.86 KG",18% off,"₹1,06,990"
MSI Modern 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windo...,"₹54,990",4.7,(31),"14 inch, Carbon Gray, 1.3 kg",19% off,"₹67,990"
Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/W...,"₹1,40,131",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",No discount available,No previous price available
ASUS VivoBook S S15 ScreenPad Core i7 11th Gen - (8 GB/...,"₹81,990",4.3,(16),"15.6 inch, Transparent Silver, 1.8 Kg, With MS Office",21% off,"₹1,04,990"
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹44,490",4.4,(216),"15.6 inch, Arctic Grey, 1.65 kg, With MS Office",22% off,"₹57,390"
Lenovo Core i3 10th Gen - (4 GB/1 TB HDD/DOS) V15 IIL L...,"₹42,705",4.1,(29),"15 inch, Iron Grey, 1.85 kg",No discount available,No previous price available
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
APPLE MacBook Pro M1 - (8 GB/256 GB SSD/Mac OS Big Sur)...,"₹1,01,691",4.7,(435),"13.3 inch, Space Grey, 1.4 kg",17% off,"₹1,22,900"
